Month Created,Date Created,Time Created,Syncing Date,Latitude,Longitude,AnswerCode,RegionName,ProjectName,UserName,FormName,SpeciesName,WardLocation,GpsDeleted,consent status,owner_gender,total donkeys owned,reason for coming,number vaccs,number worming,number castration,individual donkey form status,individual form number,ownerID number,comments,owner village,owner_age,primary_work_type,secondary_work,working_hours,days per week worked,stress hours,rest_period_number
Jun,02/06/2017,1:16 PM,03/06/2017 19:12,8.61205698,78.06302796,O-020617131614-86-11,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,5,other(study),,,,yes,0,60,,marunthalai,24,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,02/06/2017,2:12 PM,03/06/2017 19:12,8.61207609,78.06303192,O-020617141231-86-12,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,15,other(study),,,,yes,0,61,,thangamalpuram,35,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,02/06/2017,2:14 PM,03/06/2017 19:12,8.62953302,77.91890432,O-020617141409-86-13,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,20,other(study),,,,yes,0,62,12M+8F,siruvaikundam,51,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,02/06/2017,4:09 PM,03/06/2017 19:12,8.41309595,77.99998528,O-020617160952-86-14,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,17,"treatment,other(study)",,,,yes,2,63,,gandhinagar,38,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,02/06/2017,6:46 PM,03/06/2017 19:12,8.59903661,77.99511452,O-020617184610-86-15,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,14,worming,,12,,yes,1,63,,thenthiruperai,33,pack,pack,4 to 8 hours,5,no_stress_hours,6
Jun,03/06/2017,11:24 AM,03/06/2017 19:12,8.59048675,77.97554087,O-030617112404-86-16,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,13,worming,,13,,yes,0,64,,atharankal,55,pack,pack,4 to 8 hours,5,no_stress_hours,6
Jun,03/06/2017,12:12 PM,03/06/2017 19:12,8.6069624,77.9436735,O-030617121221-86-17,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin ,No,consent given,male,5,other(study),,,,yes,0,65,,alwarthirunagari,58,pack,pack,4 to 8 hours,4,no_stress_hours,6
Jun,03/06/2017,12:56 PM,03/06/2017 19:12,8.61370379,78.03152318,O-030617125658-86-18,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,11,other(study),,,,yes,0,66,10F+1M,eral,42,pack,other(breeding),4 to 8 hours,5,no_stress_hours,6
Jun,03/06/2017,1:36 PM,03/06/2017 19:12,8.28536879,77.88694434,O-030617133624-86-19,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,11,other(study),,,,yes,1,67,,periyathalai,65,pack,pack,4 to 8 hours,1,no_stress_hours,6
Jun,03/06/2017,3:31 PM,03/06/2017 19:12,8.29747061,77.91039846,O-030617153126-86-20,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,12,worming,,11,,yes,0,68,3M+9F,overi,35,pack,other(breeding),4 to 8 hours,3,no_stress_hours,6
